
          t           x           y           z          Vx          Vy          Vz           m        Vхар 
       130.8     920.287    5822.056   -3835.977       1.821       3.875       6.243        6815    0.088436
       130.9     920.469    5822.444   -3835.353       1.821       3.875       6.243        6814    0.088723
       131.0     920.651    5822.831   -3834.728       1.820       3.874       6.244        6814    0.089010
       131.1     920.833    5823.219   -3834.104       1.820       3.874       6.244        6813    0.089297
       131.2     921.015    5823.606   -3833.479       1.820       3.874       6.245        6813    0.089584
       131.3     921.197    5823.993   -3832.855       1.820       3.873       6.245        6812    0.089871
       131.4     921.379    5824.381   -3832.230       1.819       3.873       6.246        6811    0.090157
       131.5     921.561    5824.768   -3831.606       1.819       3.872       6.246        6811    0.090444
       131.6     921.743    5825.155   -3830.981       1.819       3.872       6.247        6810    0.090731
       131.7     921.924    5825.542   -3830.356       1.819       3.871       6.247        6810    0.091018
       131.8     922.106    5825.930   -3829.732       1.818       3.871       6.248        6809    0.091305
       131.9     922.288    5826.317   -3829.107       1.818       3.871       6.248        6808    0.091591
       132.0     922.470    5826.704   -3828.482       1.818       3.870       6.249        6808    0.091878
       132.1     922.652    5827.091   -3827.857       1.818       3.870       6.249        6807    0.092165
       132.2     922.833    5827.478   -3827.232       1.817       3.869       6.250        6807    0.092452
       132.3     923.015    5827.865   -3826.607       1.817       3.869       6.250        6806    0.092738
       132.4     923.197    5828.251   -3825.982       1.817       3.868       6.251        6805    0.093025
       132.5     923.379    5828.638   -3825.357       1.817       3.868       6.251        6805    0.093312
       132.6     923.560    5829.025   -3824.732       1.816       3.868       6.252        6804    0.093599
       132.7     923.742    5829.412   -3824.107       1.816       3.867       6.252        6804    0.093886
       132.8     923.923    5829.798   -3823.481       1.816       3.867       6.253        6803    0.094172
       132.9     924.105    5830.185   -3822.856       1.816       3.866       6.253        6802    0.094459
       133.0     924.286    5830.572   -3822.231       1.815       3.866       6.254        6802    0.094746
       133.1     924.468    5830.958   -3821.605       1.815       3.865       6.254        6801    0.095033
       133.2     924.650    5831.345   -3820.980       1.815       3.865       6.255        6801    0.095319
       133.3     924.831    5831.731   -3820.354       1.815       3.864       6.255        6800    0.095606
       133.4     925.012    5832.118   -3819.729       1.814       3.864       6.256        6799    0.095893
       133.5     925.194    5832.504   -3819.103       1.814       3.864       6.256        6799    0.096180
